*DONT CHANGE THIS FILE!*
BRIE k     111100kkkkkkk111                    R
BRID k     111101kkkkkkk111                    R
MOV Rd,Rr  001011rdddddrrrr                    N
LDI Rd,K   1110KKKKddddKKKK                    S
LD Rd,X    1001000ddddd1100                    N
LD Rd,X+   1001000ddddd1101                    N
LD Rd,-X   1001000ddddd1110                    N
LD Rd,Y    1000000ddddd1000                    N
LD Rd,Y+   1001000ddddd1001                    N
LD Rd,-Y   1001000ddddd1010                    N
LDD Rd,Y+q 10q0qq0ddddd1qqq                    N
LD Rd,Z    1000000ddddd0000                    N
LD Rd,Z+   1001000ddddd0001                    N
LD Rd,-Z   1001000ddddd0010                    N
LDD Rd,Z+q 10q0qq0ddddd0qqq                    N
LDS Rd,k   1001000ddddd0000kkkkkkkkkkkkkkkk    N
ST X,Rr    1001001rrrrr1100                    N
ST X+,Rr   1001001rrrrr1101                    N
ST -X,Rr   1001001rrrrr1110                    N
ST Y,Rr    1000001rrrrr1000                    N
ST Y+,Rr   1001001rrrrr1001                    N
ST -Y,Rr   1001001rrrrr1010                    N
STD Y+q,Rr 10q0qq1rrrrr1qqq                    N
ST Z,Rr    1000001rrrrr0000                    N
ST Z+,Rr   1001001rrrrr0001                    N
ST -Z,Rr   1001001rrrrr0010                    N
STD Z+q,Rr 10q0qq1rrrrr0qqq                    N
STS k,Rr   1001001rrrrr0000kkkkkkkkkkkkkkkk    N
LPM -      10010101110X1000                    N 
IN Rd,P    10110PPdddddPPPP                    N
OUT P,Rr   10111PPrrrrrPPPP                    N
PUSH Rr    1001001rrrrr1111                    N
POP Rd     1001000ddddd1111                    N
SBI P,b    10011010PPPPPbbb                    N
CBI P,b    10011000PPPPPbbb                    N
LSL Rd     0000000000000000                    AADD
LSR Rd     1001010ddddd0110                    N
ROL Rd     0000000000000000                    AADC
ROR Rd     1001010ddddd0111                    N
ASR Rd     1001010ddddd0101                    N 
SWAP Rd    1001010ddddd0010                    N
BSET s     100101000sss1000                    N
BCLR s     100101001sss1000                    N
BST Rr,b   1111101rrrrrXbbb                    N
BLD Rd,b   1111100ddddd0bbb                    N
SEC -      1001010000001000                    N
CLC -      1001010010001000                    N
SEN -      1001010000101000                    N
CLN -      1001010010101000                    N
SEZ -      1001010000011000                    N
CLZ -      1001010010011000                    N
SEI -      1001010001111000                    N
CLI -      1001010011111000                    N
SES -      1001010001001000                    N
CLS -      1001010011001000                    N
SEV -      1001010000111000                    N
CLV -      1001010010111000                    N
SET -      1001010001101000                    N
CLT -      1001010011101000                    N
SEH -      1001010001011000                    N
CLH -      1001010011011000                    N
NOP -      0000000000000000                    N
SLEEP -    10010101100X1000                    N
WDR -      10010101101X1000                    N
*CALL K    1001010KKKKK111KKKKKKKKKKKKKKKKK    N*
*JMP K     1001010KKKKK110KKKKKKKKKKKKKKKKK    N*
*MUL Rd,Rr 100111rdddddrrrr                    N*
